"","left_first_type","right_first_type","left_second_type","right_second_type","left_side_won","hp_diff","attack_diff","defense_diff","spatk_diff","spdef_diff","speed_diff"
"3243",10,1,7,1,1,31,8,32,50,25,25
"3244",13,9,14,7,1,-8,-16,0,-26,-5,6
"3245",7,1,13,1,0,-4,20,-5,28,18,-2
"3246",3,1,7,1,0,24,17,9,25,69,-1
"3247",10,9,15,1,0,25,20,7,-11,6,-53
"3248",4,19,10,1,1,-16,0,59,43,50,34
"3249",13,1,9,4,0,105,-110,-90,-45,35,-35
"3250",16,4,11,5,1,-27,55,35,-12,-40,39
"3251",5,1,17,1,0,10,-35,-47,-10,-20,-15
"3252",7,1,10,1,1,9,39,5,32,35,67
"3253",10,15,15,1,0,-5,35,20,20,-20,-30
"3254",10,1,17,4,0,-20,-38,-20,-67,0,-10
"3255",13,1,1,15,1,-10,-9,20,5,-10,22
"3256",7,9,10,9,1,27,38,15,21,-3,34
"3257",13,6,11,1,1,13,0,66,40,86,10
"3258",9,11,7,1,0,47,69,36,15,17,-9
"3259",5,1,1,15,0,30,10,18,40,45,-15
"3260",1,15,10,15,1,-84,-40,-11,-55,-41,27
"3261",11,1,17,17,1,48,22,-22,18,22,7
"3262",1,8,9,1,1,21,-55,0,52,42,35
"3263",10,1,10,9,0,5,27,30,28,5,-30
"3264",17,16,18,15,0,40,95,95,45,-10,0
"3265",3,9,7,1,0,2,-6,15,-11,5,-20
"3266",2,1,10,1,1,55,25,60,30,100,35
"3267",13,1,16,12,1,5,-4,-10,0,20,51
"3268",10,16,18,1,0,26,26,9,56,-21,-36
"3269",18,9,1,9,0,2,-1,0,-46,-30,-15
"3270",10,15,1,1,1,15,55,-5,60,20,40
"3271",6,1,13,1,0,-36,22,-24,-14,-38,-7
"3272",16,6,18,16,1,-45,25,40,0,70,20
"3273",16,19,15,1,1,-6,-20,19,-33,8,2
"3274",18,1,13,1,1,20,-10,16,10,31,3
"3275",10,1,13,6,1,-15,50,80,50,80,35
"3276",15,11,1,1,1,50,65,45,75,75,85
"3277",7,9,7,7,0,2,-20,7,5,14,-8
"3278",15,6,3,9,0,-75,-110,-35,-40,10,-40
"3279",13,1,11,1,0,5,-25,30,55,30,-28
"3280",9,1,12,19,1,-10,20,10,30,35,60
"3281",13,6,10,9,0,40,-10,-50,-10,-70,-90
"3282",14,12,1,15,1,60,47,28,45,46,19
"3283",1,19,14,1,0,-40,-50,-18,10,2,40
"3284",13,9,9,1,0,80,83,-15,27,-15,55
"3285",13,9,15,1,1,-32,37,7,27,2,48
"3286",1,1,10,15,0,-15,-17,-28,-60,-50,-40
"3287",18,1,4,9,0,-20,40,-17,-80,-82,-36
"3288",2,13,15,9,1,-2,62,-15,-58,5,28
"3289",18,1,3,12,0,-33,-32,-32,18,-22,-1
"3290",5,1,16,1,0,23,-5,35,30,30,-13
"3291",16,18,6,1,0,-35,-83,58,-53,28,-75
"3292",1,1,1,18,0,-25,-108,-40,-28,-50,-36
"3293",1,18,10,1,1,15,82,76,20,45,44
"3294",13,1,14,1,0,-15,-35,-12,25,-7,-35
"3295",1,15,15,1,0,5,5,-15,-135,-40,-105
"3296",10,15,18,17,0,-10,-5,-30,10,-20,-5
"3297",7,9,10,15,1,10,0,-33,3,-35,10
"3298",4,9,12,1,1,9,65,40,30,-55,6
"3299",13,1,4,1,1,48,20,46,-5,41,15
"3300",17,9,10,1,1,-1,15,92,-22,13,18
"3301",12,1,13,9,1,40,25,50,50,50,20
"3302",18,6,7,7,0,40,-35,20,-25,20,-5
"3303",6,16,14,2,0,-10,-10,-35,10,0,-5
"3304",1,9,4,19,1,20,45,-27,-50,-27,19
"3305",7,16,3,12,0,-3,-100,10,60,20,-47
"3306",18,1,3,9,0,-11,-42,-30,-35,-20,-12
"3307",13,1,10,15,0,-50,-34,-47,-34,-57,-2
"3308",4,1,18,7,0,-21,3,-30,-24,-30,-3
"3309",15,1,2,16,0,23,-29,-8,30,9,-21
"3310",16,1,1,17,1,50,90,-115,20,-165,25
"3311",1,7,10,1,0,5,50,-20,-35,0,-28
"3312",14,1,10,1,1,0,-21,-12,-5,-15,10
"3313",5,9,2,1,1,45,-15,55,40,75,15
"3314",10,1,13,1,1,25,53,18,63,28,51
"3315",7,7,9,11,1,27,38,1,60,16,57
"3316",7,9,13,12,1,-7,25,-6,24,-8,48
"3317",13,1,14,1,1,-15,19,-7,-5,15,41
"3318",13,1,18,1,0,-45,-80,-65,-80,-55,-25
"3319",16,2,13,9,1,5,35,20,9,19,5
"3320",18,1,4,14,0,-18,-7,13,-59,-30,-66
"3321",7,1,3,9,0,-66,-98,-47,-90,-40,-30
"3322",15,10,11,1,0,20,30,-50,100,50,25
"3323",15,1,3,13,0,-65,-125,-30,-45,-5,-40
"3324",1,8,13,1,1,30,-6,21,91,49,15
"3325",4,9,9,1,1,-5,15,0,-10,-25,18
"3326",16,19,6,1,0,-8,-53,-12,4,-54,-26
"3327",11,10,1,9,0,-1,29,0,-55,-30,-35
"3328",10,1,1,1,1,50,25,55,60,55,40
"3329",16,12,15,1,0,-26,10,40,-99,-25,-85
"3330",9,11,7,14,0,-43,2,-24,-59,-6,-68
"3331",4,1,12,9,1,20,10,15,45,50,55
"3332",18,12,4,1,0,-15,-35,-14,-49,-44,-45
"3333",13,1,18,13,1,60,90,20,25,-30,30
"3334",6,18,16,9,0,-10,40,23,80,-5,-18
"3335",15,1,11,1,0,-25,-30,-80,65,5,55
"3336",10,1,1,1,1,0,-10,15,50,20,10
"3337",7,9,11,1,1,61,30,45,65,109,80
"3338",9,11,17,9,1,-10,5,-18,18,5,29
"3339",13,1,18,1,1,25,26,-15,-14,65,8
"3340",1,10,3,6,0,-74,-20,-65,-80,-75,-40
"3341",8,4,12,1,0,-55,-87,-149,1,-6,27
"3342",13,9,7,9,0,-10,-8,0,2,10,-24
"3343",1,1,7,7,0,-23,-60,-19,-60,-19,-30
"3344",14,1,9,15,0,10,-3,7,-75,-15,-54
"3345",3,1,4,14,0,-17,20,8,-69,-64,-59
"3346",15,9,18,9,1,7,18,10,23,-60,27
"3347",18,11,6,1,1,0,-30,0,40,40,25
"3348",16,12,13,1,0,-10,35,45,-40,-30,-5
"3349",2,8,18,12,1,-36,7,-18,18,-2,56
"3350",16,19,13,1,0,-3,-35,63,30,5,-30
"3351",7,1,4,1,1,15,65,-30,-85,-35,40
"3352",16,19,15,1,1,-40,-5,50,-10,-15,25
"3353",13,9,9,15,0,10,20,0,-70,-5,5
"3354",12,1,1,15,1,40,65,-19,80,1,53
"3355",16,4,3,1,0,13,14,17,5,15,-2
"3356",11,10,13,1,0,-11,54,10,-10,15,10
"3357",3,1,7,1,0,-13,10,10,-40,10,-47
"3358",4,1,15,1,1,-50,-20,-5,-80,5,65
"3359",18,1,12,1,1,13,-1,6,-16,1,22
"3360",12,19,18,1,1,60,27,42,42,42,1
"3361",3,6,15,9,0,-31,20,-20,20,-49,-30
"3362",2,1,13,9,0,-18,50,-20,-60,-20,-46
"3363",10,15,1,12,0,29,20,-20,55,45,0
"3364",11,18,10,15,1,41,80,15,-5,10,73
"3365",10,1,4,1,0,-25,-10,-10,-35,-15,-5
"3366",18,1,13,12,0,-20,-11,-22,-5,-7,-33
"3367",12,19,18,1,0,21,-9,-6,6,-16,-46
"3368",18,12,11,1,1,25,50,0,50,55,5
"3369",5,1,18,1,0,24,5,-23,5,73,-8
"3370",1,10,11,1,0,-9,35,20,-5,-15,-55
"3371",15,9,11,10,1,-24,-49,-10,40,-10,40
"3372",18,1,5,9,0,-10,25,-35,-37,-55,-20
"3373",11,1,18,1,0,-3,-1,42,-21,-6,-5
"3374",3,9,15,9,0,28,78,25,33,25,-14
"3375",17,16,7,1,1,-35,30,65,15,35,10
"3376",11,16,15,1,1,-76,-15,-30,-67,-25,26
"3377",1,15,9,1,0,0,-10,10,-35,5,-20
"3378",14,2,11,4,0,-10,-20,40,-20,5,-5
"3379",1,17,7,1,0,-19,-42,187,-50,180,-60
"3380",3,6,13,1,1,5,45,45,55,50,10
"3381",4,9,9,8,1,-5,20,-30,-70,-30,23
"3382",1,1,12,9,0,5,-15,40,-25,20,-50
"3383",13,6,10,1,0,3,-40,1,-30,76,0
"3384",13,1,15,1,0,11,-27,-8,-37,-8,-17
"3385",4,9,5,1,1,9,60,22,85,15,66
"3386",2,7,18,9,0,5,40,15,-40,45,-7
"3387",1,9,18,15,0,-50,-40,-23,-50,-78,-30
"3388",10,9,13,6,1,5,25,10,25,25,60
"3389",16,9,10,1,1,-1,51,-20,26,0,32
"3390",18,1,11,4,1,25,28,13,48,13,31
"3391",10,1,18,3,0,-50,-110,-54,-25,-75,-18
"3392",13,1,6,1,0,-15,-45,-25,20,-25,-45
"3393",1,15,18,15,1,5,-30,-15,35,20,5
"3394",17,10,15,9,0,-10,35,57,-20,-6,-44
"3395",13,1,15,1,1,50,80,51,-45,11,25
"3396",13,1,13,1,1,47,44,32,103,39,33
"3397",4,9,18,1,1,-16,55,-9,25,-45,30
"3398",11,1,18,9,1,68,82,88,13,42,-38
"3399",17,16,11,1,0,30,0,55,0,15,-65
"3400",10,1,7,1,1,35,5,43,0,15,7
"3401",1,15,3,1,0,-5,-15,-20,0,10,-20
"3402",2,18,7,16,1,-40,95,-5,-80,-35,15
"3403",15,1,13,1,1,-130,65,115,40,25,35
"3404",4,1,17,7,1,-26,-25,-69,20,23,22
"3405",13,1,4,8,0,14,-14,-84,-54,-84,-58
"3406",18,1,11,9,0,-54,-60,-55,-50,-45,-36
"3407",11,9,1,1,1,12,60,39,50,29,26
"3408",18,15,2,1,1,-55,-25,-75,-10,-30,5
"3409",7,1,13,6,0,-63,-20,-86,-10,-86,-30
"3410",14,1,18,1,0,-7,8,-5,35,-20,-3
"3411",13,1,15,1,0,23,32,36,42,35,-8
"3412",10,15,10,1,1,15,27,13,10,30,30
"3413",3,12,1,1,1,58,90,10,40,20,77
"3414",4,1,15,8,0,-40,-15,-51,-40,-51,-40
"3415",18,7,9,11,1,5,-5,-27,12,15,16
"3416",1,9,15,11,0,-30,-6,-50,-6,-50,-34
"3417",1,15,18,3,0,-25,-115,-20,-85,-40,-70
"3418",16,1,17,16,1,40,45,120,15,40,20
"3419",6,1,13,1,1,-5,65,3,-10,45,32
"3420",4,13,18,1,1,-15,20,52,60,37,41
"3421",18,1,10,6,0,-1,-4,-5,-12,5,-58
"3422",10,1,1,15,1,-10,-2,-2,13,-7,19
"3423",18,1,13,1,0,31,37,23,23,43,-17
"3424",10,1,15,9,0,3,3,20,33,20,-24
"3425",6,1,18,7,0,14,68,5,-74,-25,-63
"3426",13,1,17,16,1,28,52,-22,21,-31,67
"3427",1,11,15,1,0,-10,40,5,-20,5,-20
"3428",11,9,9,11,1,-20,-25,-17,-23,-10,31
"3429",5,1,6,9,0,48,39,20,57,35,-19
"3430",1,5,11,3,1,10,-5,15,52,15,34
"3431",2,9,18,1,1,60,13,57,-10,45,25
"3432",18,1,15,1,1,-15,13,12,-67,3,14
"3433",18,1,11,1,1,4,13,-43,43,6,62
"3434",16,16,7,9,0,-8,11,7,-54,-20,-30
"3435",18,3,1,9,0,11,5,22,53,21,-38
"3436",5,1,2,7,1,76,56,25,96,28,51
"3437",1,1,1,17,1,57,75,-179,45,-179,60
"3438",18,1,2,1,1,-40,-45,-15,10,-5,15
"3439",14,9,18,1,1,21,24,12,-11,4,80
"3440",18,1,15,1,0,-21,3,20,35,15,-22
"3441",13,1,7,1,0,56,-53,-39,-43,21,-31
"3442",11,1,10,9,1,45,105,90,55,25,10
"3443",3,1,16,1,0,-56,-101,-15,-15,0,-8
"3444",9,15,13,1,0,-5,5,10,85,20,90
"3445",7,12,4,1,1,30,90,50,90,50,-80
"3446",3,1,1,15,0,15,30,1,10,-9,-7
"3447",2,4,6,1,0,-33,-40,-35,5,0,-2
"3448",10,1,18,6,0,-44,11,-15,-12,-35,-12
"3449",13,9,13,9,1,5,35,20,20,20,20
"3450",14,2,16,18,1,-20,-5,-55,-45,-95,25
"3451",10,3,13,9,0,5,-20,-25,-1,-21,-40
"3452",1,9,15,1,1,10,51,41,49,1,71
"3453",18,10,18,7,1,-36,-32,-40,-64,-5,-68
"3454",15,1,11,1,1,15,15,40,45,20,60
"3455",2,4,1,9,0,22,-5,10,70,10,-7
"3456",17,17,11,9,0,-15,-5,15,5,-25,-55
"3457",10,13,2,9,0,-66,-69,-45,-69,-38,-59
"3458",10,7,18,1,1,-15,25,5,-45,-15,25
"3459",1,9,9,1,1,32,30,-23,25,17,30
"3460",2,16,3,9,0,-5,-42,-7,-32,-25,-7
"3461",10,15,2,4,0,-12,-20,0,20,5,-18
"3462",16,12,18,1,0,5,0,105,-40,-10,-15
"3463",2,1,14,1,1,15,100,-2,75,-2,50
"3464",13,1,18,1,1,50,41,-5,-54,25,48
"3465",13,6,17,17,0,-20,-90,-140,-40,-20,-30
"3466",10,15,16,1,1,-5,0,-50,45,5,25
"3467",18,1,14,3,0,-15,-25,-75,0,-45,-10
"3468",1,7,5,1,1,36,87,36,-21,16,43
"3469",13,1,6,1,0,44,-9,8,36,-2,-22
"3470",13,6,6,1,0,53,-60,73,45,16,-37
"3471",17,12,18,1,0,-4,-18,80,-80,-50,-48
"3472",13,1,2,1,0,30,-70,45,-75,10,-15
"3473",16,1,1,11,1,62,95,5,20,-5,33
"3474",13,9,7,1,0,15,-45,-7,-34,1,-33
"3475",18,15,7,16,1,-25,40,-40,-60,15,45
"3476",18,1,5,1,1,-71,-7,28,-54,-64,11
"3477",18,12,15,9,0,-11,-5,-45,-25,-89,-75
"3478",18,11,7,1,0,-65,-110,-25,10,-5,-65
"3479",16,1,2,9,0,-60,15,-10,-45,-50,-70
"3480",16,1,7,12,1,-10,20,55,-55,0,-25
"3481",10,1,12,9,1,35,27,55,18,55,5
"3482",7,9,18,12,1,-17,-4,-14,9,4,91
"3483",9,1,13,1,0,-24,-11,17,14,42,37
"3484",12,19,2,1,0,35,-15,15,25,20,-10
"3485",18,1,9,8,1,-5,37,5,-30,-5,43
"3486",18,12,7,16,0,-5,16,-2,-54,-30,-54
"3487",3,1,13,1,1,21,92,40,15,5,42
"3488",10,15,1,1,1,15,55,-5,60,20,40
"3489",18,1,18,16,1,-20,23,-17,-2,-47,71
"3490",1,18,10,1,1,-5,75,85,-40,15,45
"3491",9,11,13,1,0,15,35,57,3,20,-16
"3492",6,1,5,1,1,-25,40,2,-5,-15,30
"3493",13,1,16,9,0,-5,-67,0,-39,-10,-20
"3494",5,1,3,12,1,-6,-42,1,9,2,-33
"3495",13,9,3,13,1,-65,-35,-30,-120,-50,30
"3496",18,1,4,1,0,35,44,90,79,40,-8
"3497",13,9,3,9,0,-30,-55,-65,-59,-29,-20
"3498",18,1,13,9,0,-36,-67,-15,-15,9,-50
"3499",10,15,13,1,0,-15,-35,-25,45,5,-70
"3500",7,7,15,1,0,10,15,-100,15,-100,-35
"3501",12,1,15,1,0,-9,20,0,10,-5,-1
"3502",10,15,18,1,0,-20,25,8,32,5,-5
"3503",14,1,18,15,0,-4,-23,-18,0,0,-20
"3504",10,15,10,1,1,30,35,40,55,45,10
"3505",1,19,1,15,0,-20,-70,-57,-5,-17,-47
"3506",15,1,7,16,1,-55,40,55,-70,55,35
"3507",15,7,2,16,0,53,136,47,117,54,85
"3508",16,4,10,1,0,8,36,29,-8,-3,-16
"3509",13,1,10,1,1,-68,-50,-22,-57,-41,7
"3510",15,9,5,1,1,-23,-12,7,8,-10,37
"3511",11,1,4,1,1,-20,-40,31,-45,1,-25
"3512",1,1,15,10,0,-35,-65,-25,-130,-100,-50
"3513",17,17,6,3,0,-35,-34,62,-19,-21,-18
"3514",18,1,7,12,1,30,-25,45,-15,40,45
"3515",15,1,10,1,0,-10,-49,-35,70,-5,-6
"3516",1,9,13,1,0,-34,-44,-34,-4,-64,-25
"3517",13,9,4,1,0,3,15,-15,5,-40,-24
"3518",12,1,11,1,1,10,-30,-5,15,-5,30
"3519",10,1,5,1,1,0,-18,30,23,40,30
"3520",1,7,13,1,0,-70,25,15,-55,40,-25
"3521",18,1,12,1,1,-20,-12,-17,28,-17,51
"3522",18,1,10,1,0,-25,-5,-45,-25,-45,-73
"3523",9,11,10,1,0,-7,17,0,-3,12,-26
"3524",3,1,18,1,0,10,-35,-15,10,0,-25
"3525",15,9,2,1,0,25,10,30,15,30,30
"3526",16,19,4,4,1,-20,-35,20,-50,-40,10
"3527",6,1,14,19,1,70,40,25,-30,25,15
"3528",9,1,10,15,0,-7,-40,95,10,60,-25
"3529",2,4,18,12,0,-23,0,-5,-20,-5,-31
"3530",4,18,9,15,1,-35,-30,10,-35,-20,-65
"3531",7,12,7,1,0,21,8,-3,5,-5,-30
"3532",18,1,3,8,0,-80,-110,-45,-135,-100,-10
"3533",8,1,1,9,0,18,25,25,75,30,-49
"3534",4,1,18,12,0,-40,-10,-15,-20,-15,-9
"3535",9,8,10,1,0,-25,-59,-30,10,-10,-16
"3536",1,15,17,16,1,-10,-10,-21,-5,-21,27
"3537",2,9,1,17,1,40,75,-188,75,-188,86
"3538",6,1,17,6,1,15,40,-25,40,5,55
"3539",18,13,15,9,0,50,20,35,0,50,0
"3540",9,1,3,9,0,-37,-95,15,-25,15,-90
"3541",18,15,4,1,1,0,10,5,-20,-15,45
"3542",18,1,2,1,0,-9,42,65,-38,0,-31
"3543",2,8,6,1,1,-45,-70,-50,15,-35,10
"3544",6,1,10,9,0,-65,-68,-40,-85,-40,-92
"3545",18,12,17,17,1,50,40,-10,45,50,30
"3546",15,1,18,1,1,6,-11,27,14,34,15
"3547",9,8,9,11,1,6,-11,20,101,35,34
"3548",18,17,1,11,1,39,38,78,38,10,7
"3549",18,4,4,1,1,45,60,68,100,88,24
"3550",2,7,16,1,1,10,15,30,20,90,43
"3551",18,12,10,15,1,45,30,5,0,0,34
"3552",15,1,18,17,1,-50,-20,30,25,95,35
"3553",1,1,18,1,1,-5,-35,-60,21,-23,67
"3554",2,9,13,9,0,50,-20,45,5,45,-45
"3555",18,1,10,1,0,-55,-60,-35,-95,-30,50
"3556",18,10,13,1,0,17,10,9,35,44,-20
"3557",9,15,12,1,1,-50,-15,-70,0,-165,30
"3558",2,7,18,11,0,-15,20,45,-45,15,-12
"3559",10,1,11,8,0,-44,-119,-95,-102,-45,-52
"3560",12,1,13,1,0,10,37,114,-91,-29,-62
"3561",13,1,18,9,0,-10,-45,11,45,-5,-21
"3562",15,6,7,7,0,-8,-39,-6,21,44,-28
"3563",13,1,13,9,1,2,10,5,15,15,44
"3564",10,3,18,1,0,15,50,25,55,30,-30
"3565",16,1,11,10,0,8,41,-20,10,-30,3
"3566",7,1,7,1,0,-23,9,-20,-16,-35,-10
"3567",10,1,9,11,0,35,10,3,52,-25,-34
"3568",18,12,18,1,0,-75,-5,40,-25,20,-25
"3569",17,6,13,1,0,-35,-25,-5,10,-35,-30
"3570",1,5,4,1,0,-40,-38,-25,-58,-50,-50
"3571",9,1,18,1,1,9,81,-30,-21,8,23
"3572",18,12,7,1,0,-15,-82,-17,-49,-69,-5
"3573",16,19,18,1,0,17,85,50,25,5,-17
"3574",18,1,16,16,0,6,-7,-17,-38,-23,-36
"3575",1,15,16,19,0,0,-60,-55,-25,-15,-35
"3576",16,1,2,8,0,-25,-10,45,-100,-35,-85
"3577",1,17,6,1,0,-50,-5,40,35,-10,0
"3578",3,1,13,1,0,6,34,25,30,30,-5
"3579",7,14,16,12,0,7,-45,-57,28,9,37
"3580",15,7,17,6,1,18,20,-60,10,20,30
"3581",16,6,15,1,1,0,90,-50,90,-50,20
"3582",7,1,13,1,0,-20,-6,-3,30,4,-20
"3583",12,1,14,1,0,25,74,131,1,-7,-12
"3584",10,1,5,1,1,10,37,52,23,35,45
"3585",15,6,2,7,0,-30,-50,-25,35,20,12
"3586",9,1,8,4,0,-20,10,55,-15,50,-30
"3587",10,1,1,18,1,15,29,-32,29,-32,65
"3588",2,1,2,9,1,10,5,48,50,48,34
"3589",10,4,11,16,1,10,40,-30,75,-35,70
"3590",15,1,11,5,1,-3,44,6,73,-9,98
"3591",6,1,7,1,0,2,49,0,-51,-25,-15
"3592",9,11,10,15,1,16,45,77,3,20,39
"3593",14,1,11,17,0,-55,-80,-58,-5,17,25
"3594",8,1,13,1,1,-81,-10,15,45,-20,91
"3595",1,9,10,15,0,-50,-52,-41,-70,-58,-10
"3596",18,1,18,9,1,35,62,28,35,-40,35
"3597",13,1,3,1,1,19,21,24,10,19,27
"3598",13,1,16,18,1,35,18,-48,43,-13,10
"3599",3,13,17,10,1,65,120,-50,70,-60,35
"3600",5,1,2,18,0,30,-60,-35,50,60,-10
"3601",18,1,18,1,0,-32,-54,-47,-18,-27,-38
"3602",17,16,10,16,0,-38,-71,1,-101,21,-32
"3603",7,1,5,1,0,-68,-67,-37,-51,-33,-19
"3604",4,9,10,9,1,0,30,10,30,-5,23
"3605",6,1,13,1,0,-11,12,1,-4,-13,-57
"3606",15,11,16,2,1,25,-25,0,30,20,55
"3607",7,1,6,1,0,-10,-15,70,35,10,-25
"3608",9,11,18,16,0,-1,-9,-15,-56,-30,-74
"3609",18,1,13,9,0,-23,-14,8,-31,14,-51
"3610",18,1,14,1,0,-17,-11,-14,6,1,-16
"3611",1,1,1,11,0,-10,-30,10,-25,-45,-15
"3612",13,1,16,1,0,15,-10,-35,55,20,105
"3613",1,5,7,1,0,5,-28,13,-13,-5,-18
"3614",18,1,18,9,0,9,19,26,-6,31,-19
"3615",10,1,6,1,1,-5,30,80,25,30,60
"3616",1,1,12,1,1,-15,-3,-45,-27,-125,35
"3617",7,12,1,18,0,-10,-90,-100,0,-55,-40
"3618",4,1,18,17,1,5,-10,-15,-20,5,60
"3619",13,1,1,9,0,15,-14,40,11,45,-6
"3620",13,9,15,1,1,-2,20,5,-75,-10,41
"3621",18,16,2,9,1,0,-10,43,15,43,24
"3622",14,1,18,4,0,-44,-63,-60,-110,-80,-50
"3623",18,9,14,3,1,32,62,32,19,59,7
"3624",14,1,4,18,0,45,8,-17,-52,-2,-5
"3625",7,4,7,7,1,-12,37,56,60,30,45
"3626",14,9,18,1,1,20,-50,-45,15,25,15
"3627",11,1,6,1,0,-30,-50,30,-15,-5,-10
"3628",4,9,13,1,1,20,9,72,80,72,14
"3629",7,1,10,15,0,5,-7,-20,-80,-60,-45
"3630",17,12,12,1,1,39,75,180,-10,35,-14
"3631",12,1,2,1,1,30,-15,-10,15,95,40
"3632",15,9,4,6,0,-2,17,13,14,3,-6
"3633",3,13,13,1,1,65,70,30,95,55,65
"3634",16,18,16,12,0,-20,-65,15,20,85,-5
"3635",7,19,1,15,1,20,55,70,90,35,25
"3636",10,4,16,4,1,-12,-11,-44,76,26,74
"3637",2,18,4,1,1,-5,70,45,-20,10,25
"3638",4,1,13,1,1,-190,40,65,10,-15,45
"3639",9,11,10,1,0,15,40,47,-52,0,-36
"3640",18,9,1,10,1,74,-3,18,57,33,58
"3641",13,1,1,1,1,50,50,70,20,50,55
"3642",17,16,15,1,0,25,95,85,-70,15,-40
"3643",1,12,17,16,0,0,4,5,4,5,-14
"3644",4,1,10,1,0,-35,-30,-25,-55,-35,-30
"3645",10,1,1,9,0,-16,-41,20,-1,15,-115
"3646",17,16,13,1,1,21,90,90,60,50,39
"3647",10,3,15,1,1,30,52,15,47,-30,38
"3648",10,15,9,11,1,-25,-38,-59,22,5,6
"3649",3,9,17,6,1,45,40,5,65,-5,70
"3650",9,8,4,18,1,35,5,-10,0,5,10
"3651",17,1,18,1,1,-6,92,182,3,18,16
"3652",11,16,9,11,0,-15,-45,-67,-18,-5,-44
"3653",13,1,4,18,1,60,75,20,-50,35,35
"3654",18,10,13,9,0,-30,-80,-20,15,25,-60
"3655",18,1,7,12,1,100,-10,-25,-15,-30,20
"3656",11,3,18,1,0,-29,-31,-85,-100,-80,-13
"3657",14,1,13,1,0,10,10,-20,-30,-20,-45
"3658",1,9,7,7,1,22,-2,34,38,4,14
"3659",13,1,3,1,1,79,56,75,70,70,70
"3660",4,1,1,1,1,-10,25,5,30,30,45
"3661",10,1,4,1,0,16,16,25,-17,5,-27
"3662",13,1,16,1,0,-25,-50,-61,0,-11,52
"3663",12,1,3,1,1,10,11,20,40,25,9
"3664",16,13,18,1,0,47,14,-5,-3,8,-39
"3665",14,1,16,18,1,10,23,-23,18,-43,5
"3666",13,1,18,1,0,-62,-120,-49,-150,-119,-30
"3667",9,8,16,1,1,-37,-110,30,80,40,22
"3668",14,1,13,1,0,-37,-60,-50,20,-50,-35
"3669",14,1,1,10,0,72,10,15,70,30,25
"3670",4,1,10,1,1,-25,0,-62,-30,13,66
"3671",8,4,13,1,1,10,-25,20,32,20,8
"3672",15,1,18,1,0,21,6,39,46,49,-1
"3673",5,9,1,9,0,-10,-25,40,5,60,-55
"3674",15,1,4,1,0,15,22,48,10,20,-25
"3675",13,9,11,1,0,-5,-40,-15,-14,-14,60
"3676",14,12,18,1,0,-4,-3,22,0,25,-30
"3677",18,11,15,6,0,2,-5,-5,-25,-5,-20
"3678",18,1,10,3,0,-35,-45,-15,-27,-15,-35
"3679",1,1,9,1,0,-14,-40,-20,-43,-18,-5
"3680",6,1,9,1,0,10,25,-35,-25,-20,45
"3681",3,16,16,18,1,20,35,-65,55,-40,70
"3682",7,1,2,7,1,25,20,-3,90,25,35
"3683",13,9,14,12,1,-1,13,3,-20,-20,8
"3684",10,1,4,1,0,5,5,35,-15,40,-55
"3685",4,1,15,6,1,17,40,9,-5,-1,5
"3686",5,9,18,1,0,-4,-23,5,15,25,-18
"3687",3,1,18,1,1,6,0,-40,-24,-5,18
"3688",7,1,15,1,0,14,32,28,-45,-5,-25
"3689",17,1,3,13,0,-55,10,140,-70,-10,-45
"3690",18,9,18,9,1,17,24,0,-16,-70,5
"3691",9,11,4,1,1,10,50,82,-7,30,49
"3692",2,4,1,15,0,7,-65,30,50,-10,-87
"3693",13,9,1,1,1,15,40,14,33,21,35
"3694",4,1,12,1,1,54,25,35,50,30,11
"3695",16,12,11,1,0,-73,-67,42,-38,-27,23
"3696",4,1,15,1,0,40,5,-75,45,-70,-35
"3697",10,7,11,1,1,16,-10,-38,45,74,43
"3698",4,1,11,1,0,-88,-72,-103,-33,-37,13
"3699",3,9,13,1,1,46,80,38,68,43,15
"3700",13,9,4,1,0,10,-7,-5,-53,-30,-50
"3701",13,1,18,12,0,-31,-34,-62,-14,-42,-7
"3702",16,12,11,17,1,-10,-1,-25,35,40,26
"3703",13,6,13,1,0,58,0,81,55,81,-5
"3704",13,16,4,1,1,45,37,37,63,83,55
"3705",18,5,12,1,1,20,-32,-2,-4,16,27
"3706",10,3,18,1,1,31,37,-20,25,-20,22
"3707",13,16,16,1,0,-15,-55,-65,30,-15,60
"3708",6,16,7,19,0,-50,-70,-65,-90,-35,-10
"3709",17,16,18,12,0,-40,-35,10,-30,-10,-10
"3710",16,3,18,4,0,25,69,55,0,25,-14
"3711",2,4,12,1,1,-8,35,-30,-35,-130,8
"3712",10,1,12,1,1,-25,-50,-5,40,-5,40
"3713",10,1,16,19,0,2,-5,-43,36,-14,-22
"3714",10,3,1,9,0,9,-20,-5,10,-10,-100
"3715",3,1,14,1,1,-59,-18,-15,-35,-60,7
"3716",15,1,18,1,1,90,-35,30,50,105,35
"3717",5,1,7,9,0,17,-11,2,21,21,-66
"3718",13,1,10,15,1,15,20,5,-10,-30,20
"3719",15,6,18,16,1,-57,-40,-45,-35,-55,20
"3720",2,1,10,15,1,5,68,-3,-5,-20,15
"3721",18,16,18,3,0,50,-15,60,35,90,-35
"3722",15,1,4,1,1,5,25,10,55,10,15
"3723",1,12,16,12,0,-10,-5,35,-6,15,-15
"3724",13,1,11,4,1,25,25,10,15,10,45
"3725",17,16,13,1,1,40,10,30,40,-20,60
